0,1,2
869,41.0,15.0
429,24.0,24.0
776,29.0,63.0
826,47.0,28.0
813,35.0,24.0
615,43.0,54.0
788,35.0,52.0
649,43.0,24.0
800,32.0,29.0
414,2.0,8.0
413,21.0,24.0
244,,8.0
246,2.0,4.0
210,,5.0
677,22.0,22.0
641,26.0,27.0
20,,2.0
399,23.0,18.0
476,19.0,21.0
178,3.0,6.0
225,,8.0
253,1.0,4.0
18,,4.0
147,17.0,11.0
155,17.0,20.0
167,26.0,19.0
180,18.0,20.0
172,22.0,12.0
166,22.0,14.0
202,16.0,40.0
200,26.0,19.0
183,30.0,18.0
161,17.0,13.0
142,21.0,17.0
216,14.0,22.0
165,21.0,19.0
156,16.0,33.0
192,16.0,39.0
111,15.0,4.0
88,18.0,2.0
83,11.0,10.0
122,9.0,29.0
77,8.0,5.0
204,27.0,7.0
83,11.0,3.0
91,18.0,3.0
99,7.0,26.0
90,4.0,17.0
91,26.0,2.0
93,27.0,5.0
93,23.0,3.0
84,18.0,1.0
125,12.0,11.0
96,7.0,10.0
127,24.0,17.0
120,23.0,16.0
97,12.0,17.0
125,9.0,10.0
111,23.0,10.0
143,20.0,10.0
137,18.0,12.0
126,21.0,10.0
135,15.0,11.0
129,23.0,8.0
118,11.0,9.0
139,17.0,20.0
136,13.0,14.0
126,7.0,11.0
103,12.0,7.0
95,8.0,4.0
103,8.0,4.0
96,12.0,6.0
123,11.0,9.0
91,10.0,6.0
117,16.0,5.0
127,14.0,7.0
111,9.0,5.0
120,11.0,4.0
121,10.0,5.0
112,15.0,7.0
98,12.0,3.0
109,6.0,6.0
107,13.0,7.0
312,18.0,5.0
294,19.0,5.0
267,21.0,9.0
315,23.0,11.0
290,14.0,7.0
314,16.0,21.0
302,13.0,11.0
270,18.0,5.0
280,19.0,5.0
284,10.0,11.0
307,18.0,8.0
323,25.0,6.0
287,14.0,10.0
270,15.0,5.0
303,17.0,2.0
256,12.0,13.0
582,26.0,24.0
214,17.0,9.0
258,15.0,10.0
259,22.0,16.0
250,15.0,9.0
249,18.0,8.0
258,12.0,11.0
252,14.0,15.0
214,13.0,25.0
222,15.0,10.0
250,10.0,11.0
240,13.0,13.0
223,13.0,9.0
299,15.0,7.0
534,20.0,16.0
88,17.0,8.0
68,17.0,7.0
73,12.0,8.0
96,18.0,5.0
65,10.0,9.0
157,30.0,15.0
76,11.0,7.0
85,16.0,6.0
66,10.0,7.0
63,11.0,6.0
80,10.0,16.0
76,19.0,8.0
63,8.0,7.0
76,15.0,6.0
86,11.0,8.0
121,26.0,24.0
126,6.0,11.0
282,44.0,20.0
332,68.0,33.0
107,19.0,13.0
217,16.0,12.0
172,21.0,4.0
130,9.0,22.0
107,4.0,19.0
197,25.0,7.0
146,10.0,14.0
115,6.0,29.0
159,40.0,15.0
143,51.0,8.0
131,50.0,21.0
151,46.0,9.0
136,41.0,17.0
148,37.0,9.0
138,42.0,14.0
130,36.0,21.0
129,40.0,24.0
129,49.0,26.0
118,40.0,22.0
132,44.0,15.0
129,47.0,13.0
135,35.0,13.0
117,36.0,15.0
120,9.0,14.0
105,14.0,12.0
104,11.0,11.0
92,14.0,9.0
108,7.0,8.0
116,11.0,27.0
108,9.0,10.0
107,12.0,12.0
96,9.0,18.0
111,7.0,36.0
110,13.0,18.0
88,7.0,20.0
109,3.0,41.0
99,8.0,6.0
62,6.0,11.0
119,9.0,14.0
568,35.0,31.0
501,31.0,28.0
1687,56.0,62.0
521,9.0,18.0
531,31.0,29.0
540,19.0,14.0
460,15.0,28.0
410,16.0,34.0
545,27.0,24.0
496,13.0,31.0
523,19.0,34.0
417,7.0,24.0
421,6.0,12.0
153,59.0,9.0
83,23.0,14.0
76,10.0,13.0
69,17.0,4.0
150,50.0,16.0
96,10.0,6.0
77,9.0,10.0
86,15.0,8.0
104,27.0,9.0
107,21.0,8.0
82,10.0,23.0
67,18.0,8.0
71,10.0,7.0
372,14.0,29.0
316,24.0,5.0
317,13.0,7.0
310,18.0,11.0
399,14.0,2.0
387,18.0,7.0
373,15.0,7.0
297,21.0,11.0
393,13.0,3.0
412,8.0,19.0
322,11.0,7.0
410,13.0,10.0
297,10.0,7.0
330,14.0,8.0
409,5.0,19.0
137,17.0,96.0
101,15.0,93.0
116,22.0,109.0
143,18.0,105.0
156,29.0,76.0
121,13.0,128.0
114,17.0,127.0
146,25.0,99.0
116,21.0,74.0
122,29.0,72.0
139,23.0,77.0
165,25.0,81.0
119,11.0,141.0
133,26.0,75.0
121,18.0,93.0
1337,78.0,146.0
1130,79.0,92.0
1544,89.0,109.0
921,61.0,53.0
1297,78.0,128.0
1254,74.0,86.0
1647,114.0,121.0
1315,99.0,69.0
1155,69.0,191.0
1168,95.0,89.0
1308,102.0,78.0
1296,91.0,91.0
821,61.0,47.0
307,23.0,15.0
611,47.0,40.0
1029,73.0,87.0
81,,5.0
434,27.0,26.0
91,1.0,7.0
174,6.0,10.0
27,,2.0
109,3.0,5.0
263,18.0,12.0
1270,80.0,122.0
140,16.0,7.0
466,29.0,20.0
99,2.0,4.0
193,10.0,18.0
129,11.0,4.0
146,13.0,11.0
201,33.0,10.0
143,25.0,22.0
140,20.0,14.0
162,24.0,19.0
228,12.0,22.0
163,18.0,13.0
179,30.0,18.0
176,28.0,11.0
163,29.0,9.0
130,16.0,26.0
266,21.0,19.0
192,25.0,15.0
151,17.0,14.0
154,18.0,9.0
149,27.0,24.0
123,,4.0
155,4.0,5.0
133,7.0,6.0
88,10.0,5.0
149,8.0,4.0
172,4.0,5.0
138,6.0,7.0
132,11.0,11.0
143,10.0,6.0
130,9.0,10.0
75,9.0,6.0
146,5.0,6.0
93,10.0,4.0
116,7.0,7.0
129,7.0,8.0
137,4.0,7.0
98,6.0,20.0
1876,81.0,103.0
994,87.0,98.0
1694,85.0,220.0
364,91.0,58.0
1896,111.0,225.0
287,6.0,33.0
1753,126.0,78.0
1335,93.0,97.0
437,7.0,17.0
2342,158.0,118.0
998,72.0,84.0
353,59.0,72.0
2426,175.0,260.0
279,26.0,13.0
75,14.0,2.0
185,35.0,41.0
98,19.0,8.0
60,11.0,4.0
111,2.0,5.0
33,2.0,1.0
34,1.0,
1319,73.0,200.0
251,34.0,65.0
567,23.0,39.0
317,34.0,65.0
1197,76.0,98.0
1667,76.0,85.0
122,,3.0
510,44.0,67.0
1931,152.0,90.0
312,21.0,37.0
100,3.0,9.0
254,44.0,62.0
33,2.0,3.0
153,12.0,4.0
91,14.0,10.0
131,40.0,12.0
417,99.0,105.0
341,36.0,75.0
77,5.0,8.0
82,15.0,12.0
1925,118.0,114.0
72,8.0,9.0
279,36.0,6.0
284,51.0,65.0
