0,1,2
547,55.0,178.0
417,46.0,176.0
396,44.0,173.0
391,42.0,203.0
427,33.0,146.0
526,56.0,179.0
202,40.0,47.0
188,38.0,28.0
196,35.0,59.0
186,41.0,26.0
204,29.0,35.0
190,41.0,54.0
403,34.0,44.0
355,37.0,40.0
368,43.0,51.0
365,50.0,57.0
388,40.0,42.0
358,45.0,53.0
332,29.0,54.0
357,28.0,72.0
323,35.0,44.0
341,31.0,73.0
336,22.0,77.0
329,29.0,54.0
61,16.0,80.0
67,10.0,88.0
69,6.0,71.0
68,8.0,71.0
69,12.0,89.0
508,39.0,48.0
510,40.0,79.0
485,57.0,54.0
542,48.0,58.0
453,48.0,52.0
509,35.0,54.0
353,42.0,92.0
412,38.0,97.0
385,37.0,92.0
331,37.0,135.0
320,42.0,88.0
375,38.0,82.0
339,27.0,36.0
307,37.0,43.0
364,30.0,38.0
348,29.0,44.0
314,34.0,49.0
329,24.0,34.0
1626,135.0,333.0
1941,153.0,388.0
1922,135.0,396.0
1937,158.0,342.0
1842,152.0,322.0
1925,162.0,359.0
310,48.0,84.0
412,54.0,78.0
383,37.0,96.0
394,47.0,83.0
436,66.0,74.0
354,51.0,93.0
326,31.0,49.0
322,35.0,51.0
321,36.0,39.0
323,29.0,51.0
342,32.0,46.0
384,37.0,52.0
406,64.0,56.0
299,38.0,34.0
348,39.0,50.0
311,27.0,43.0
458,52.0,53.0
432,52.0,62.0
382,30.0,68.0
361,36.0,69.0
340,41.0,51.0
345,42.0,69.0
312,42.0,42.0
388,60.0,40.0
372,44.0,41.0
314,34.0,37.0
357,45.0,31.0
352,36.0,35.0
323,37.0,44.0
381,17.0,91.0
404,24.0,93.0
393,14.0,101.0
683,29.0,108.0
400,27.0,93.0
350,23.0,54.0
273,32.0,58.0
225,27.0,69.0
286,24.0,56.0
247,29.0,61.0
279,34.0,57.0
224,23.0,67.0
249,34.0,89.0
220,43.0,76.0
240,35.0,70.0
276,33.0,79.0
232,37.0,70.0
227,31.0,87.0
440,75.0,124.0
378,72.0,127.0
301,63.0,112.0
302,70.0,109.0
410,70.0,130.0
372,61.0,136.0
428,15.0,106.0
385,22.0,87.0
518,23.0,79.0
414,19.0,93.0
459,13.0,91.0
513,27.0,89.0
337,26.0,60.0
423,36.0,77.0
400,23.0,90.0
443,40.0,68.0
311,33.0,51.0
427,29.0,79.0
367,64.0,73.0
347,42.0,63.0
325,38.0,64.0
337,56.0,75.0
339,48.0,79.0
343,31.0,65.0
340,27.0,72.0
335,27.0,66.0
393,28.0,67.0
369,28.0,72.0
428,28.0,90.0
337,17.0,84.0
338,40.0,83.0
300,34.0,61.0
321,21.0,74.0
312,34.0,65.0
374,25.0,81.0
332,23.0,79.0
348,51.0,110.0
367,54.0,98.0
396,59.0,86.0
337,50.0,91.0
406,58.0,84.0
274,98.0,54.0
275,118.0,107.0
251,114.0,63.0
273,116.0,83.0
267,59.0,45.0
259,117.0,85.0
430,31.0,67.0
427,29.0,62.0
430,23.0,69.0
442,35.0,108.0
438,28.0,109.0
446,29.0,96.0
2875,59.0,157.0
3583,100.0,286.0
